metadata_source,paper_id,title,published_venue,publication_year,treatment,outcome,sign,context,triplet_key,triplet_uid,ideology_sensitivity,policy_direction,economic_liberal_preferred_sign,economic_conservative_preferred_sign,region_bucket,time_decade,unit_of_analysis,race,gender,age,text_surface_cues_up,text_surface_cues_down,evidence,normalization_warnings,validation_errors
legacy,9474,Individual Perceptions of the Criminal Justice System,american_economic_review,2003,Perceived probability of arrest,Subsequent criminal behavior,-,"This paper analyzes perceptions and criminal behavior using two U.S. longitudinal cohorts: the NLSY97 (youth aged 12–16 in 1997, followed 1997–2000) and the National Youth Survey (respondents surveyed in 1983 and 1986). Units are individual young males (with sibling linkages), linked to county-level arrest rates and neighborhood measures. The institutional setting is the U.S. criminal justice system—local arrest outcomes, policing/neighborhood disorder—and the study examines how personal/sibling crimes and arrests update beliefs about arrest probabilities and how those beliefs causally affect subsequent offending.",9474|perceived probability of arrest|subsequent criminal behavior,,non_sensitive,unclear,,,"[""Developed""]","[""1980s"", ""1990s"", ""2000s""]","[""personal_household""]",[],"[""male""]",[],[],[],"{""ideology_sensitivity"": [""The institutional setting is the U.S. criminal justice system—local arrest outcomes, policing/neighborhood disorder—and the study examines how personal/sibling crimes and arrests update beliefs about arrest probabilities and how those beliefs causally affect subsequent offending.""], ""policy_direction"": [], ""preferred_signs"": [""The institutional setting is the U.S. criminal justice system—local arrest outcomes, policing/neighborhood disorder—and the study examines how personal/sibling crimes and arrests update beliefs about arrest probabilities and how those beliefs causally affect subsequent offending.""], ""region_bucket"": [""two U.S. longitudinal cohorts"", ""The institutional setting is the U.S. criminal justice system""], ""time_decade"": [""youth aged 12–16 in 1997, followed 1997–2000"", ""respondents surveyed in 1983 and 1986""], ""unit_of_analysis"": [""Units are individual young males (with sibling linkages), linked to county-level arrest rates and neighborhood measures""], ""demographics"": [""individual young males"", ""youth aged 12–16 in 1997""], ""text_surface_cues"": []}",[],[]
legacy,9519,"What Can Be Learned from Skeletons that Might Interest Economists, Historians and Other Social Scientists?",american_economic_review,2003,Adoption of agriculture,Tooth decay,+,"This paper analyzes 12,520 skeletons from 65 localities across the Western Hemisphere over the past several millennia (including 4,078 individuals from 23 pre‑Columbian sites in North, Central and South America). Using individual skeletal measures aggregated to community/locality level, it constructs a seven‑component morbidity-based health index (age-weighted using a Model West reference life table) and compares health across settlement types (mobile, village, urban) and historical environments to assess how settlement size and related conditions affected community health.",9519|adoption of agriculture|tooth decay,,non_sensitive,unclear,,,[],[],"[""government_country""]",[],[],[],[],[],"{""ideology_sensitivity"": [""treatment: Adoption of agriculture"", ""outcome: Tooth decay"", ""This paper analyzes 12,520 skeletons from 65 localities ... Using individual skeletal measures aggregated to community/locality level, it constructs a seven‑component morbidity-based health index ... and compares health across settlement types""], ""policy_direction"": [], ""preferred_signs"": [""treatment: Adoption of agriculture"", ""outcome: Tooth decay"", ""This paper analyzes 12,520 skeletons from 65 localities ... Using individual skeletal measures aggregated to community/locality level, it constructs a seven‑component morbidity-based health index ... and compares health across settlement types""], ""region_bucket"": [""Western Hemisphere"", ""North, Central and South America"", ""pre‑Columbian sites""], ""time_decade"": [""over the past several millennia"", ""pre‑Columbian""], ""unit_of_analysis"": [""individual skeletal measures aggregated to community/locality level"", ""aggregated to community/locality level"", ""compares health across settlement types (mobile, village, urban) and historical environments to assess how settlement size and related conditions affected community health""], ""demographics"": [""12,520 skeletons"", ""4,078 individuals from 23 pre‑Columbian sites"", ""age-weighted using a Model West reference life table""], ""text_surface_cues"": []}",[],[]
legacy,16326,"Firm Dynamics, Job Turnover, and Wage Distributions in an Open Economy",american_economic_review,2010,Integration with global product markets,unemployment,+,"The paper analyzes Colombian manufacturing plants (establishments with ≥10 workers) using annual plant-level panel data primarily from 1981–1990 (pre-reform) and evaluates post-1990s outcomes following trade liberalization and 1991 labor-market reforms. It studies how reductions in trade frictions (tariffs and iceberg costs), falling firing costs (dismissal costs), and increased global integration affected firm dynamics, job turnover, unemployment, and cross-firm wage distributions via a calibrated dynamic general-equilibrium model.",16326|integration with global product markets|unemployment,,ideology_sensitive,unclear,+,-,"[""Developing""]","[""1980s"", ""1990s""]","[""firm""]",[],[],[],"[""increased""]","[""reductions"", ""falling""]","{""ideology_sensitivity"": [""trade liberalization"", ""Integration with global product markets"", ""unemployment""], ""policy_direction"": [], ""preferred_signs"": [""trade liberalization"", ""Integration with global product markets"", ""unemployment""], ""region_bucket"": [""Colombian manufacturing plants""], ""time_decade"": [""1981–1990"", ""post-1990s"", ""1991""], ""unit_of_analysis"": [""manufacturing plants"", ""establishments with \u0003610 workers"", ""annual plant-level panel data""], ""demographics"": [], ""text_surface_cues"": [""reductions"", ""falling"", ""increased""]}",[],[]
legacy,15497,Family Violence and Football: The Effect of Unexpected Emotional Cues on Violent Behavior,quarterly_journal_of_economics,2009,Upset home-team loss,At-home male-on-female IPV,+,"Using 1995–2006 NIBRS police-incident data matched to six U.S. NFL home-team markets, the paper studies family violence on Sundays during regular NFL seasons. The unit is police-agency by Sunday counts of at-home male-on-female intimate-partner violence (12:00–24:00 ET). It benchmarks unexpected game outcomes with Las Vegas point spreads and controls for agency fixed effects, weather, seasonality, and local Nielsen viewership. The design treats actual game outcomes as random conditional on the spread to estimate causal effects of upset wins/losses.",15497|upset home-team loss|at-home male-on-female ipv,,non_sensitive,unclear,,,"[""Developed""]","[""1990s"", ""2000s""]","[""personal_household""]",[],"[""female""]",[],[],[],"{""ideology_sensitivity"": [""treatment: Upset home-team loss"", ""outcome: At-home male-on-female IPV"", ""design treats actual game outcomes as random conditional on the spread to estimate causal effects""], ""policy_direction"": [], ""preferred_signs"": [""treatment: Upset home-team loss"", ""outcome: At-home male-on-female IPV"", ""design treats actual game outcomes as random conditional on the spread to estimate causal effects""], ""region_bucket"": [""six U.S. NFL home-team markets"", ""U.S.""], ""time_decade"": [""1995–2006""], ""unit_of_analysis"": [""unit is police-agency by Sunday counts of at-home male-on-female intimate-partner violence (12:00–24:00 ET)""], ""demographics"": [""male-on-female intimate-partner violence""], ""text_surface_cues"": []}",[],[]
legacy,8986,The Relationship Between Education and Adult Mortality in the United States,review_of_economic_studies,2002,Compulsory schooling laws,Educational attainment,+,"The triplet is estimated using pooled individual census data (primarily the 1960 and 1970 1% samples) on white persons who were age 14 between 1915–1939; each individual is matched to state-of-birth compulsory schooling and child-labor laws in force when they were 14. Years of completed education is regressed on law dummies (childcom and contsch) with controls including state-of-birth and cohort fixed effects, a female dummy, region*cohort interactions and state-level covariates.",8986|compulsory schooling laws|educational attainment,,ideology_sensitive,unclear,+,None,"[""Developed""]","[""1910s"", ""1920s"", ""1930s"", ""1960s"", ""1970s""]","[""personal_household""]","[""white""]","[""female""]","[""0_15""]",[],[],"{""ideology_sensitivity"": [""Compulsory schooling laws""], ""policy_direction"": [], ""preferred_signs"": [""Compulsory schooling laws""], ""region_bucket"": [""United States"", ""state-of-birth""], ""time_decade"": [""primarily the 1960 and 1970 1% samples"", ""age 14 between 1915–1939""], ""unit_of_analysis"": [""pooled individual census data"", ""each individual is matched"", ""white persons""], ""demographics"": [""white persons"", ""a female dummy"", ""age 14""], ""text_surface_cues"": []}",[],[]
legacy,6034,"Abortion Legalization and Child Living Circumstances: Who is the Marginal Child?""""",quarterly_journal_of_economics,1997,Abortion legalization,Government welfare expenditures,-,"The paper estimates how U.S. state-level abortion legalization affected government welfare expenditures by tracking birth cohorts exposed to legalization (defining the “year after legalization” as 1971 in repeal states and 1976 in non-repeal states). Using cohort-level outcomes through 1994 (payments expressed in 1995 dollars), it attributes a 13,868-family reduction in the welfare caseload per cohort and computes aggregate savings (about $90 million per cohort per year and roughly $14 billion in welfare savings through 1994). Units are U.S. states, birth cohorts, families, and government welfare payments.",6034|abortion legalization|government welfare expenditures,,,unclear,,,"[""Developed""]","[""1970s"", ""1990s""]","[""government_country""]",[],[],[],[],"[""reduction"", ""savings""]","{""ideology_sensitivity"": [], ""policy_direction"": [], ""preferred_signs"": [], ""region_bucket"": [""U.S. state-level abortion legalization"", ""Units are U.S. states""], ""time_decade"": [""defining the “year after legalization” as 1971 in repeal states and 1976 in non-repeal states"", ""Using cohort-level outcomes through 1994 (payments expressed in 1995 dollars)""], ""unit_of_analysis"": [""Units are U.S. states, birth cohorts, families, and government welfare payments.""], ""demographics"": [], ""text_surface_cues"": [""it attributes a 13,868-family reduction in the welfare caseload per cohort"", ""computes aggregate savings (about $90 million per cohort per year and roughly $14 billion in welfare savings through 1994)""]}","[""legacy ideologically_sensitive flag missing; preserved as missing""]",[]
legacy,8314,Do Liquidity Constraints and Interest Rates Matter for Consumer Behavior? Evidence from Credit Card Data,quarterly_journal_of_economics,2001,Credit limit increase,Other credit card balances,None,"This paper uses a proprietary panel of about 24,000 U.S. bankcard accounts from several large anonymous issuers, tracked monthly from January 1995 through January 1998 (average ~24 months). The unit is the individual credit card account; the data include account-level credit limits, interest rates, monthly balances/payments, internal and external credit-risk scores, account age, and administrative timing rules (e.g., 6–12 month windows and promotional rates). The institutional setting is U.S. bankcards (Visa/Mastercard/Discover/etc.), letting the authors study causal effects of line and rate changes on borrowing.",8314|credit limit increase|other credit card balances,,non_sensitive,unclear,,,"[""Developed""]","[""1990s""]","[""personal_household""]",[],[],[],"[""increase""]",[],"{""ideology_sensitivity"": [""Credit limit increase"", ""Other credit card balances"", ""letting the authors study causal effects of line and rate changes on borrowing""], ""policy_direction"": [], ""preferred_signs"": [""Credit limit increase"", ""Other credit card balances"", ""letting the authors study causal effects of line and rate changes on borrowing""], ""region_bucket"": [""U.S. bankcards"", ""U.S. bankcard accounts""], ""time_decade"": [""tracked monthly from January 1995 through January 1998""], ""unit_of_analysis"": [""The unit is the individual credit card account""], ""demographics"": [], ""text_surface_cues"": [""Credit limit increase""]}",[],[]
legacy,15749,"Globalization, Markups and U.S. Welfare",journal_of_political_economy,2010,Increased foreign competition,Domestic firm exit,+,"This paper studies how globalization affected firm markups and U.S. welfare between 1992 and 2005, using U.S. import and domestic production data at HS 4-digit and firm-country-product (HS-10) levels. The setting is the U.S. merchandise market; units of observation include exporting countries, individual firms/products, and manufacturing sectors. Under a monopolistic-competition framework with translog preferences, the authors exploit changes in import shares, Herfindahl concentration, and product entry/exit to structurally estimate demand elasticities, markups, and welfare impacts.",15749|increased foreign competition|domestic firm exit,,ideology_sensitive,unclear,+,None,"[""Developed""]","[""1990s"", ""2000s""]","[""firm""]",[],[],[],"[""Increased""]",[],"{""ideology_sensitivity"": [""treatment: Increased foreign competition"", ""outcome: Domestic firm exit""], ""policy_direction"": [], ""preferred_signs"": [""treatment: Increased foreign competition"", ""outcome: Domestic firm exit""], ""region_bucket"": [""U.S. merchandise market"", ""U.S. welfare"", ""U.S. import and domestic production data""], ""time_decade"": [""between 1992 and 2005""], ""unit_of_analysis"": [""exporting countries"", ""individual firms/products"", ""manufacturing sectors"", ""Domestic firm exit""], ""demographics"": [], ""text_surface_cues"": [""Increased""]}",[],[]
legacy,4715,Trade and Circuses: Explaining Urban Giants,quarterly_journal_of_economics,1994,Dictatorship,Growth rate of main city population,+,"The paper uses a cross-section of 85 countries. For this triplet, regression (17) specifically examines the growth rate of a country's main urban agglomeration between 1970 and 1985 as the outcome, using a dictatorship dummy (from Gastil/Barro-Wolf political indices) as the treatment. The unit of observation is the country, and the analysis situates this timing-based regression within the paper's broader examination of trade openness, transport infrastructure, economic structure, and political instability for 1970–1985.",4715|dictatorship|growth rate of main city population,,,unclear,,,[],"[""1970s"", ""1980s""]","[""government_country""]",[],[],[],"[""growth"", ""growth rate""]",[],"{""ideology_sensitivity"": [""using a dictatorship dummy (from Gastil/Barro-Wolf political indices) as the treatment"", ""treatment: Dictatorship""], ""policy_direction"": [], ""preferred_signs"": [""using a dictatorship dummy (from Gastil/Barro-Wolf political indices) as the treatment"", ""treatment: Dictatorship""], ""region_bucket"": [""The paper uses a cross-section of 85 countries.""], ""time_decade"": [""growth rate of a country's main urban agglomeration between 1970 and 1985"", ""the paper's broader examination ... for 1970–1985""], ""unit_of_analysis"": [""The unit of observation is the country""], ""demographics"": [], ""text_surface_cues"": [""growth rate"", ""growth""]}","[""legacy ideologically_sensitive flag missing; preserved as missing""]",[]
legacy,17736,Inconsistent Regulators: Evidence From Banking,quarterly_journal_of_economics,2012,Federal supervision,Nonperforming loans,+,"This empirical paper studies U.S. state-chartered commercial banks from 1996–2011, exploiting the Riegle Act–mandated alternating supervision (12- or 18‑month rotations) between state regulators and federal agencies (Fed for state‑member banks; FDIC for non‑members). Using National Information Center on-site exam data (CAMELS) merged with Call Reports across U.S. states, the authors analyze how regulator identity affects supervisory ratings and bank outcomes (capital ratios, nonperforming loans, ROA) for individual banks under predetermined rotation schedules.",17736|federal supervision|nonperforming loans,,ideology_sensitive,unclear,-,+,"[""Developed""]","[""1990s"", ""2000s"", ""2010s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [""alternating supervision ... between state regulators and federal agencies"", ""treatment: Federal supervision""], ""policy_direction"": [], ""preferred_signs"": [""alternating supervision ... between state regulators and federal agencies"", ""treatment: Federal supervision""], ""region_bucket"": [""U.S. state-chartered commercial banks"", ""across U.S. states""], ""time_decade"": [""1996–2011""], ""unit_of_analysis"": [""individual banks"", ""state-chartered commercial banks""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,16573,Innovation and Foreign Ownership,american_economic_review,2010,Exporting via foreign parent,Process innovation,+,"Using the ESEE firm-level panel for Spanish manufacturing (1990–2006, ~1,800 firms across 20 two-digit NACE industries), this paper studies which domestic firms are acquired by foreign parents (foreign ownership ≥50%) and how acquisition affects innovation (product/process, foreign-technology assimilation), exports and productivity. The unit is the firm; identification leverages within-firm variation over time, industry and year controls, and propensity-score reweighting to address time-varying selection in the Spanish manufacturing/multinational entry context.",16573|exporting via foreign parent|process innovation,,,unclear,,,"[""Developed""]","[""1990s"", ""2000s""]","[""firm""]",[],[],[],[],[],"{""ideology_sensitivity"": [], ""policy_direction"": [], ""preferred_signs"": [], ""region_bucket"": [""Spanish manufacturing""], ""time_decade"": [""1990–2006""], ""unit_of_analysis"": [""The unit is the firm""], ""demographics"": [], ""text_surface_cues"": []}","[""legacy ideologically_sensitive flag missing; preserved as missing""]",[]
legacy,21104,"Salience, Myopia, and Complex Dynamic Incentives: Evidence from Medicare Part D",review_of_economic_studies,2015,Entering the coverage gap,Expensive prescriptions,-,"Using 2008 administrative claims from Express Scripts for U.S. employer-sponsored Medicare Part D plans, the paper studies prescription purchase behavior of beneficiaries (age 65+) at the weekly enrollee level. It exploits the nonlinear 2008 Part D benefit—standard coverage, a coverage gap (doughnut hole) beginning at $2,510, and catastrophic coverage—to analyze enrollees who early in the year have $2,000–$2,510 cumulative spending. Outcomes include weekly drug spending and prescription counts; analyses use within-person contrasts around the gap, structural dynamic models, and policy counterfactuals.",21104|entering the coverage gap|expensive prescriptions,,non_sensitive,unclear,,,"[""Developed""]","[""2000s""]","[""personal_household""]",[],[],"[""65_plus""]",[],[],"{""ideology_sensitivity"": [""Medicare Part D"", ""policy counterfactuals""], ""policy_direction"": [], ""preferred_signs"": [""Medicare Part D"", ""policy counterfactuals""], ""region_bucket"": [""U.S."", ""U.S. employer-sponsored Medicare Part D plans""], ""time_decade"": [""2008""], ""unit_of_analysis"": [""weekly enrollee level"", ""beneficiaries (age 65+)""], ""demographics"": [""age 65+""], ""text_surface_cues"": []}",[],[]
legacy,13668,Does Medicare Save Lives?,quarterly_journal_of_economics,2007,Medicare eligibility,hospital admission rate,+,"Using California hospital discharge records (January 1992–December 2002), the paper compares hospital admission rates for patients just under versus just over age 65 in California hospitals, exploiting the Medicare eligibility threshold. The analysis examines discontinuities in total admissions and by route (non-emergency, planned ER, and unplanned ER) to estimate the effect of Medicare eligibility on hospital admission rates.",13668|medicare eligibility|hospital admission rate,,non_sensitive,unclear,,,"[""Developed""]","[""1990s"", ""2000s""]","[""personal_household""]",[],[],"[""65_plus""]",[],[],"{""ideology_sensitivity"": [""exploiting the Medicare eligibility threshold"", ""Medicare eligibility""], ""policy_direction"": [], ""preferred_signs"": [""exploiting the Medicare eligibility threshold"", ""Medicare eligibility""], ""region_bucket"": [""Using California hospital discharge records"", ""Medicare eligibility""], ""time_decade"": [""January 1992–December 2002""], ""unit_of_analysis"": [""compares hospital admission rates for patients just under versus just over age 65 in California hospitals""], ""demographics"": [""patients just under versus just over age 65"", ""age 65""], ""text_surface_cues"": []}",[],[]
legacy,13753,Using Tax Expenditures to Achieve Energy Policy Goals,american_economic_review,2008,Ethanol tax credit,CO2 emissions,-,"This paper analyzes U.S. federal and state energy tax expenditures, focusing on ethanol policy and its impacts in 2005–2006. It uses national aggregates (ethanol and gasoline consumption, CO2 emissions, and federal revenue/costs) as the unit of analysis to evaluate the 51¢/gallon ethanol tax credit (VEETC), the Energy Policy Act of 2005 blending mandates, and state RFG/oxygenate rules and MTBE phase-outs, within the institutional setting of federal tax-expenditure accounting and OMB budget estimates.",13753|ethanol tax credit|co2 emissions,,ideology_sensitive,unclear,-,None,"[""Developed""]","[""2000s""]","[""government_country""]",[],[],[],[],[],"{""ideology_sensitivity"": [""Using Tax Expenditures to Achieve Energy Policy Goals"", ""ethanol tax credit"", ""CO2 emissions"", ""tax expenditures"", ""Energy Policy Act of 2005""], ""policy_direction"": [], ""preferred_signs"": [""Using Tax Expenditures to Achieve Energy Policy Goals"", ""ethanol tax credit"", ""CO2 emissions"", ""tax expenditures"", ""Energy Policy Act of 2005""], ""region_bucket"": [""This paper analyzes U.S. federal and state energy tax expenditures"", ""national aggregates""], ""time_decade"": [""2005–2006""], ""unit_of_analysis"": [""It uses national aggregates (ethanol and gasoline consumption, CO2 emissions, and federal revenue/costs) as the unit of analysis""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,18351,Network Structure and the Aggregation of Information: Theory and Evidence from Indonesia,american_economic_review,2012,Community-based targeting,Targeting accuracy (rank correlation with self-assessed poverty),+,"Using baseline network and poverty-ranking data collected in November–December 2008 from 631 hamlets (neighborhoods) across three Indonesian provinces (North Sumatra, South Sulawesi, Central Java), the paper studies how household social network structure affects aggregation of information about others’ economic status and how this predicts the performance of community-based targeting. Units are households and hamlets; the study links observed per-capita consumption and self-reported poverty to respondents’ rankings and exploits a randomized targeting experiment (community, PMT, hybrid) implemented in 2008–2009.",18351|community-based targeting|targeting accuracy (rank correlation with self-assessed poverty),,ideology_sensitive,unclear,+,-,"[""Developing""]","[""2000s""]","[""personal_household""]",[],[],[],[],[],"{""ideology_sensitivity"": [""community-based targeting"", ""performance of community-based targeting"", ""randomized targeting experiment (community, PMT, hybrid)""], ""policy_direction"": [], ""preferred_signs"": [""community-based targeting"", ""performance of community-based targeting"", ""randomized targeting experiment (community, PMT, hybrid)""], ""region_bucket"": [""Indonesia"", ""North Sumatra, South Sulawesi, Central Java""], ""time_decade"": [""November–December 2008"", ""implemented in 2008–2009""], ""unit_of_analysis"": [""Units are households and hamlets""], ""demographics"": [], ""text_surface_cues"": []}",[],[]
legacy,4989,The Causes and Effects of Liability Reform: Some Empirical Evidence,review_of_economic_studies,1995,Liability-reducing reforms,Productivity,+,"This paper analyzes the effects and determinants of state-level tort liability reforms in the United States over 1969–1990. The authors compile a new panel of state tort statutes and judicial decisions matched to industry–state–year data (17 local industries plus manufacturing) from the BEA, and study how adoption of eight reforms (e.g., damage caps, contingency-fee limits, joint-and-several, comparative negligence, prejudgment interest) affected industry productivity and employment. Units are state-industry-year observations; authors exploit staggered cross-state adoption and use political/professional variables (lawyers/doctors per capita, party control, ADA scores) as instruments.",4989|liability-reducing reforms|productivity,,ideology_sensitive,unclear,None,+,"[""Developed""]","[""1960s"", ""1970s"", ""1980s"", ""1990s""]","[""government_country""]",[],[],[],[],"[""reducing""]","{""ideology_sensitivity"": [""state-level tort liability reforms"", ""Liability-reducing reforms"", ""productivity""], ""policy_direction"": [], ""preferred_signs"": [""state-level tort liability reforms"", ""Liability-reducing reforms"", ""productivity""], ""region_bucket"": [""United States""], ""time_decade"": [""1969–1990""], ""unit_of_analysis"": [""Units are state-industry-year observations"", ""state-level tort liability reforms"", ""state tort statutes and judicial decisions matched to industry–state–year data""], ""demographics"": [], ""text_surface_cues"": [""Liability-reducing reforms""]}",[],[]
legacy,29049,The Damages and Distortions from Discrimination in the Rental Housing Market,quarterly_journal_of_economics,2021,Discriminatory search constraints,Renter welfare (equivalent income),-,"This paper combines a large-scale randomized correspondence field experiment on a major online rental platform in five U.S. MSAs (Atlanta, Houston, Philadelphia, Cleveland, San Jose) with residential-location data (InfoUSA) on renter moves (2016–2018). Units are three-bedroom, two-bath rental listings, property managers, and renter households (African American, Hispanic/LatinX, white). The study integrates experimentally measured response probabilities across census tracts into a structural residential sorting model to estimate welfare damages, search costs, and willingness-to-pay distortions from rental-market discrimination.",29049|discriminatory search constraints|renter welfare (equivalent income),,non_sensitive,unclear,,,"[""Developed""]","[""2010s""]","[""personal_household""]","[""black"", ""hispanic"", ""white""]",[],[],[],[],"{""ideology_sensitivity"": [""treatment: Discriminatory search constraints"", ""outcome: Renter welfare (equivalent income)""], ""policy_direction"": [], ""preferred_signs"": [""treatment: Discriminatory search constraints"", ""outcome: Renter welfare (equivalent income)""], ""region_bucket"": [""five U.S. MSAs (Atlanta, Houston, Philadelphia, Cleveland, San Jose)"", ""U.S.""], ""time_decade"": [""2016–2018""], ""unit_of_analysis"": [""Units are three-bedroom, two-bath rental listings, property managers, and renter households (African American, Hispanic/LatinX, white)."", ""renter households""], ""demographics"": [""African American"", ""Hispanic/LatinX"", ""white""], ""text_surface_cues"": []}",[],[]
legacy,11204,From Education to Democracy?,american_economic_review,2005,Average years of schooling,Political institutions,None,"This paper studies country-level panels (about 108 countries) over the postwar period (mainly 1965–2000 at five-year intervals, with 10-year checks) to test whether increases in average years of adult schooling lead to democratization. Units are countries; democracy is measured by Freedom House, Polity, and Przeworski-based indices and schooling by Barro–Lee. The authors exploit within-country variation using time and country fixed effects and conduct subsample and robustness checks (e.g., excluding socialist, Sub‑Saharan African, or Muslim-majority countries).",11204|average years of schooling|political institutions,,non_sensitive,unclear,,,"[""Developing""]","[""1960s"", ""1970s"", ""1980s"", ""1990s"", ""2000s""]","[""government_country""]",[],[],[],"[""increases""]",[],"{""ideology_sensitivity"": [""test whether increases in average years of adult schooling lead to democratization""], ""policy_direction"": [], ""preferred_signs"": [""test whether increases in average years of adult schooling lead to democratization""], ""region_bucket"": [""excluding ... Sub‑Saharan African ... countries""], ""time_decade"": [""postwar period (mainly 1965–2000 at five-year intervals, with 10-year checks)""], ""unit_of_analysis"": [""country-level panels (about 108 countries)"", ""Units are countries""], ""demographics"": [], ""text_surface_cues"": [""increases in average years of adult schooling lead to democratization"", ""increases""]}",[],[]
legacy,24360,"People Management Skills, Employee Attrition, and Manager Rewards: An Empirical Analysis",journal_of_political_economy,2018,People management skills,Employee salary growth,None,"This paper studies manager 'people management skills' using personnel and annual upward-feedback surveys from a large U.S.-headquartered multinational high‑tech firm over a two-year-plus window (denoted Y1–Y3, circa 2011–2015). The unit is worker-months covering thousands of managers and tens of thousands of employees across locations, job functions, and hierarchy levels. The firm’s confidential HR data provide manager ratings (MOR), hires, manager moves, quits/fires (including 'regretted' quits), subjective performance, salaries, promotions, and patents, enabling quasi‑experimental analyses of managerial effects on attrition and rewards.",24360|people management skills|employee salary growth,,non_sensitive,unclear,,,"[""Developed""]","[""2010s""]","[""personal_household""]",[],[],[],"[""growth""]",[],"{""ideology_sensitivity"": [""People management skills"", ""Employee salary growth""], ""policy_direction"": [], ""preferred_signs"": [""People management skills"", ""Employee salary growth""], ""region_bucket"": [""U.S.-headquartered multinational high‑tech firm""], ""time_decade"": [""Y1–Y3, circa 2011–2015""], ""unit_of_analysis"": [""The unit is worker-months"", ""covering thousands of managers and tens of thousands of employees""], ""demographics"": [], ""text_surface_cues"": [""Employee salary growth"", ""growth""]}",[],[]
legacy,18698,Equilibrium Labor Market Search and Health Insurance Reform,journal_of_political_economy,2013,Removal of premium subsidies,Insurance exchange activity,-,"This study models U.S. labor and health‑insurance markets using worker and establishment data (SIPP 1996, MEPS 1997–99, RWJ‑EHI 1997) to estimate an equilibrium search model of heterogeneous firms and risk‑averse workers facing medical shocks. Units are non‑elderly workers and private employers; key institutional features include employer‑sponsored insurance, HIPAA rules, and 2010 Affordable Care Act provisions (individual mandate, employer mandate, exchanges, subsidies, with major changes phased in by 2014). The paper uses structural estimation to evaluate the ACA and counterfactual reforms.",18698|removal of premium subsidies|insurance exchange activity,,non_sensitive,unclear,,,"[""Developed""]","[""1990s"", ""2010s""]","[""personal_household"", ""firm""]",[],[],"[""15_64""]",[],[],"{""ideology_sensitivity"": [""2010 Affordable Care Act provisions (individual mandate, employer mandate, exchanges, subsidies)"", ""treatment : Removal of premium subsidies""], ""policy_direction"": [], ""preferred_signs"": [""2010 Affordable Care Act provisions (individual mandate, employer mandate, exchanges, subsidies)"", ""treatment : Removal of premium subsidies""], ""region_bucket"": [""This study models U.S. labor and health‑insurance markets""], ""time_decade"": [""SIPP 1996"", ""MEPS 1997–99"", ""RWJ‑EHI 1997"", ""2010 Affordable Care Act provisions"", ""major changes phased in by 2014""], ""unit_of_analysis"": [""Units are non‑elderly workers and private employers""], ""demographics"": [""Units are non‑elderly workers""], ""text_surface_cues"": []}",[],[]
legacy,6826,Does Air Quality Matter?  Evidence from the Housing Market,journal_of_political_economy,1998,Reduction in suspended particulates,Home values,+,"This paper studies U.S. county-level effects of Clean Air Act regulation on air pollution and housing values across 1970–1990, focusing on 1970–80 and 1980–90 decades. It uses county TSP monitor data, attainment/non‑attainment designations (mid‑decade: 1974–75 and 1984–85), and county housing values (Census/CCDB and PUMS). The institutional setting is the 1970 and 1977 Clean Air Act Amendments and EPA enforcement, with important background shocks such as the 1981–82 recession and regional industrial declines (e.g., Rust Belt).",6826|reduction in suspended particulates|home values,,ideology_sensitive,unclear,+,-,"[""Developed""]","[""1970s"", ""1980s""]","[""government_country""]",[],[],[],[],"[""Reduction"", ""declines"", ""recession""]","{""ideology_sensitivity"": [""Clean Air Act regulation"", ""Reduction in suspended particulates (treatment) and Home values (outcome) — regulatory intervention affecting market outcomes""], ""policy_direction"": [], ""preferred_signs"": [""Clean Air Act regulation"", ""Reduction in suspended particulates (treatment) and Home values (outcome) — regulatory intervention affecting market outcomes""], ""region_bucket"": [""This paper studies U.S. county-level effects""], ""time_decade"": [""across 1970–1990"", ""focusing on 1970–80 and 1980–90"", ""attainment/non‑attainment designations (mid‑decade: 1974–75 and 1984–85)"", ""1981–82 recession""], ""unit_of_analysis"": [""U.S. county-level effects"", ""county housing values (Census/CCDB and PUMS)""], ""demographics"": [], ""text_surface_cues"": [""Reduction in suspended particulates"", ""regional industrial declines"", ""1981–82 recession""]}",[],[]
