case_id,example_displayed_sign,example_exact_jel_codes,example_false_side,example_original_sign,example_outcome,example_overlap_ratio,example_paper_id,example_treatment,example_true_side,jel_overlap_ratio,jel_similarity,matching_rule,pair_case_type,selection_score,shared_exact_jel_codes,shared_exact_jel_count,target_exact_jel_codes,target_exact_jel_count,target_outcome,target_paper_id,target_side,target_sign,target_treatment,task_name,union_exact_jel_count,variant
task2_jel_similarity_side_capped_jel_similarity_002302,+,"[""J16"", ""O12"", ""J13"", ""I25""]",conservative,+,Girls' scholarship application,0.5,25331,School-based gender-equality program,liberal,0.3333,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""J13"", ""J16""]",2,"[""H50"", ""J65"", ""L26"", ""J16"", ""J13"", ""J88""]",6,Hiring paid employees,22446,liberal,+,Extended job-protected leave,task2,8,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002303,-,"[""J13"", ""J12"", ""J16"", ""F16"", ""F6""]",liberal,-,Divorce likelihood,0.4,25247,Import competition from China,conservative,0.3333,0.2222,jaccard_jel_similarity,cons-lib,0.2222,"[""J13"", ""J16""]",2,"[""H50"", ""J65"", ""L26"", ""J16"", ""J13"", ""J88""]",6,Incorporated entrepreneurship,22446,liberal,+,Extended job-protected leave,task2,9,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002304,+,"[""J16"", ""O12"", ""J13"", ""I25""]",conservative,+,Girls' scholarship application,0.5,25331,School-based gender-equality program,liberal,0.3333,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""J13"", ""J16""]",2,"[""H50"", ""J65"", ""L26"", ""J16"", ""J13"", ""J88""]",6,Incorporated entrepreneurship,22446,liberal,+,Extended job-protected leave,task2,8,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002305,+,"[""E24"", ""E2"", ""E32""]",liberal,+,unemployment rate,0.3333,19265,increase in unemployment benefits,conservative,0.25,0.1667,jaccard_jel_similarity,cons-lib,0.1667,"[""E24""]",1,"[""D03"", ""E24"", ""J3"", ""O15""]",4,Group cooperation,22491,liberal,-,Pay disparity,task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002306,-,"[""M52"", ""J3"", ""D03"", ""K2"", ""G3""]",conservative,-,Probability of option number-rigidity,0.4,21975,FASB/SEC expensing and disclosure reforms,liberal,0.5,0.2857,jaccard_jel_similarity,lib-lib,0.2857,"[""D03"", ""J3""]",2,"[""D03"", ""E24"", ""J3"", ""O15""]",4,Group cooperation,22491,liberal,-,Pay disparity,task2,7,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002307,+,"[""E24"", ""E2"", ""E32""]",liberal,+,unemployment rate,0.3333,19265,increase in unemployment benefits,conservative,0.25,0.1667,jaccard_jel_similarity,cons-lib,0.1667,"[""E24""]",1,"[""D03"", ""E24"", ""J3"", ""O15""]",4,Worker attendance,22491,liberal,-,Pay inequality,task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002308,-,"[""M52"", ""J3"", ""D03"", ""K2"", ""G3""]",conservative,-,Probability of option number-rigidity,0.4,21975,FASB/SEC expensing and disclosure reforms,liberal,0.5,0.2857,jaccard_jel_similarity,lib-lib,0.2857,"[""D03"", ""J3""]",2,"[""D03"", ""E24"", ""J3"", ""O15""]",4,Worker attendance,22491,liberal,-,Pay inequality,task2,7,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002309,+,"[""E24"", ""E2"", ""E32""]",liberal,+,unemployment rate,0.3333,19265,increase in unemployment benefits,conservative,0.25,0.1667,jaccard_jel_similarity,cons-lib,0.1667,"[""E24""]",1,"[""D03"", ""E24"", ""J3"", ""O15""]",4,Worker output,22491,liberal,-,Pay inequality,task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002310,-,"[""M52"", ""J3"", ""D03"", ""K2"", ""G3""]",conservative,-,Probability of option number-rigidity,0.4,21975,FASB/SEC expensing and disclosure reforms,liberal,0.5,0.2857,jaccard_jel_similarity,lib-lib,0.2857,"[""D03"", ""J3""]",2,"[""D03"", ""E24"", ""J3"", ""O15""]",4,Worker output,22491,liberal,-,Pay inequality,task2,7,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002311,+,"[""F12"", ""F23""]",conservative,+,Affiliate production in host country,0.5,6773,Host-country trade costs,liberal,0.5,0.3333,jaccard_jel_similarity,lib-cons,0.3333,"[""F23""]",1,"[""F23"", ""F44""]",2,Cross-country growth dispersion,22498,conservative,-,Full integration of multinationals,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002312,-,"[""F21"", ""F23""]",liberal,-,Affiliate initial size,0.5,10337,Capital controls,conservative,0.5,0.3333,jaccard_jel_similarity,cons-cons,0.3333,"[""F23""]",1,"[""F23"", ""F44""]",2,Cross-country growth dispersion,22498,conservative,-,Full integration of multinationals,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002313,-,"[""G23"", ""G11"", ""D14""]",conservative,-,after-fee returns,0.6667,18158,Broker recommendations,liberal,1.0,0.6667,jaccard_jel_similarity,lib-lib,0.6667,"[""D14"", ""G23""]",2,"[""D14"", ""G23""]",2,Average skill of selected managers,22517,liberal,+,Higher entry barriers,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002314,None,"[""G28"", ""G51"", ""D14"", ""G41"", ""G23"", ""D12""]",liberal,None,Renewal/delinquency/default rates,0.3333,28765,Statewide disclosures,conservative,1.0,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""D14"", ""G23""]",2,"[""D14"", ""G23""]",2,Average skill of selected managers,22517,liberal,+,Higher entry barriers,task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002315,-,"[""F21"", ""F23""]",liberal,-,Affiliate initial size,0.5,10337,Capital controls,conservative,0.3333,0.25,jaccard_jel_similarity,cons-cons,0.25,"[""F23""]",1,"[""F23"", ""F14"", ""L23""]",3,Probability of production fragmentation,22550,conservative,+,Higher local wage,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002316,+,"[""L68"", ""F12"", ""F23"", ""F13"", ""L23""]",conservative,+,production relocation (sourcing countries),0.4,25767,country-specific antidumping duties,liberal,0.6667,0.3333,jaccard_jel_similarity,lib-cons,0.3333,"[""F23"", ""L23""]",2,"[""F23"", ""F14"", ""L23""]",3,Probability of production fragmentation,22550,conservative,+,Higher local wage,task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002317,+,"[""I20"", ""K42""]",conservative,+,Behavioral distortions such as cheating,0.5,9413,Incentive systems with bright-line rules,liberal,1.0,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""I20""]",1,"[""I20""]",1,efficiency at increasing minority representation,22589,liberal,-,CPS race-neutral tier-based admission policy,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002318,+,"[""H70"", ""I20""]",liberal,+,Public school student achievement,0.5,11216,Tiebout choice,conservative,1.0,0.5,jaccard_jel_similarity,cons-lib,0.5,"[""I20""]",1,"[""I20""]",1,efficiency at increasing minority representation,22589,liberal,-,CPS race-neutral tier-based admission policy,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002319,+,"[""I20"", ""K42""]",conservative,+,Behavioral distortions such as cheating,0.5,9413,Incentive systems with bright-line rules,liberal,1.0,0.5,jaccard_jel_similarity,lib-cons,0.5,"[""I20""]",1,"[""I20""]",1,average composite scores at Northside,22589,conservative,-,CPS tier-based plan,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002320,+,"[""H70"", ""I20""]",liberal,+,Public school student achievement,0.5,11216,Tiebout choice,conservative,1.0,0.5,jaccard_jel_similarity,cons-cons,0.5,"[""I20""]",1,"[""I20""]",1,average composite scores at Northside,22589,conservative,-,CPS tier-based plan,task2,2,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002321,+,"[""I11"", ""I18""]",conservative,+,Welfare,1.0,14759,Restricting the choice set to three lowest cost options,liberal,0.6667,0.6667,jaccard_jel_similarity,lib-lib,0.6667,"[""I11"", ""I18""]",2,"[""D22"", ""I18"", ""I11""]",3,Probability of strategic discharge,22598,liberal,+,For-profit ownership,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002322,-,"[""I11"", ""I18""]",liberal,-,Total healthcare spending per woman,1.0,26162,Shift recommendation from age 40 to 45,conservative,0.6667,0.6667,jaccard_jel_similarity,cons-lib,0.6667,"[""I11"", ""I18""]",2,"[""D22"", ""I18"", ""I11""]",3,Probability of strategic discharge,22598,liberal,+,For-profit ownership,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002323,+,"[""D72""]",conservative,+,Socialist vote share (1919),1.0,27854,Excess deaths from Spanish flu (1918),liberal,0.3333,0.3333,jaccard_jel_similarity,lib-lib,0.3333,"[""D72""]",1,"[""H11"", ""F14"", ""D72""]",3,Party and representative turnover,22637,liberal,+,Rising import competition from China,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002324,+,"[""D72""]",liberal,+,Fascist vote share (1924),1.0,27854,Socialist vote share (1919),conservative,0.3333,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""D72""]",1,"[""H11"", ""F14"", ""D72""]",3,Party and representative turnover,22637,liberal,+,Rising import competition from China,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002325,+,"[""I22"", ""J24""]",conservative,+,Completed schooling (years),0.5,7422,Eligibility for student benefits,liberal,0.5,0.3333,jaccard_jel_similarity,lib-lib,0.3333,"[""J24""]",1,"[""J24"", ""K42""]",2,Participation in job training programs,22648,liberal,+,Incarceration,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002326,+,"[""J24"", ""I20""]",liberal,+,Test scores,0.5,21748,Charter school attendance,conservative,0.5,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""J24""]",1,"[""J24"", ""K42""]",2,Participation in job training programs,22648,liberal,+,Incarceration,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002327,+,"[""I22"", ""J24""]",conservative,+,Completed schooling (years),0.5,7422,Eligibility for student benefits,liberal,0.5,0.3333,jaccard_jel_similarity,lib-cons,0.3333,"[""J24""]",1,"[""J24"", ""K42""]",2,Probability of reoffending within 5 years,22648,conservative,-,Incarceration,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002328,+,"[""J24"", ""I20""]",liberal,+,Test scores,0.5,21748,Charter school attendance,conservative,0.5,0.3333,jaccard_jel_similarity,cons-cons,0.3333,"[""J24""]",1,"[""J24"", ""K42""]",2,Probability of reoffending within 5 years,22648,conservative,-,Incarceration,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002329,-,"[""G21"", ""G28""]",liberal,-,Initial loan interest rates for new firms,1.0,4921,Higher credit market concentration,conservative,0.6667,0.6667,jaccard_jel_similarity,cons-cons,0.6667,"[""G21"", ""G28""]",2,"[""G28"", ""G21"", ""N22""]",3,Bank insolvency risk,22692,conservative,+,Deposit insurance,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002330,+,"[""G28"", ""G21""]",conservative,+,CAMELS rating,1.0,17736,Federal supervision,liberal,0.6667,0.6667,jaccard_jel_similarity,lib-cons,0.6667,"[""G21"", ""G28""]",2,"[""G28"", ""G21"", ""N22""]",3,Bank insolvency risk,22692,conservative,+,Deposit insurance,task2,3,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002331,-,"[""G15"", ""G01""]",liberal,-,contagion from US market,0.5,17121,Higher financial integration,conservative,0.25,0.2,jaccard_jel_similarity,cons-lib,0.2,"[""G01""]",1,"[""E02"", ""E03"", ""G02"", ""G01""]",4,Bank equity crash risk,22695,liberal,+,Bank credit expansion,task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002332,+,"[""G2"", ""R31"", ""R21"", ""E44"", ""E03"", ""G01"", ""G12"", ""G4""]",conservative,+,Mortgage default and delinquency rates,0.25,24823,Exposure to high NCL lenders,liberal,0.5,0.2,jaccard_jel_similarity,lib-lib,0.2,"[""E03"", ""G01""]",2,"[""E02"", ""E03"", ""G02"", ""G01""]",4,Bank equity crash risk,22695,liberal,+,Bank credit expansion,task2,10,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002333,-,"[""G15"", ""G01""]",liberal,-,contagion from US market,0.5,17121,Higher financial integration,conservative,0.25,0.2,jaccard_jel_similarity,cons-lib,0.2,"[""G01""]",1,"[""E02"", ""E03"", ""G02"", ""G01""]",4,Bank equity excess returns,22695,liberal,-,Bank credit expansion,task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002334,+,"[""G2"", ""R31"", ""R21"", ""E44"", ""E03"", ""G01"", ""G12"", ""G4""]",conservative,+,Mortgage default and delinquency rates,0.25,24823,Exposure to high NCL lenders,liberal,0.5,0.2,jaccard_jel_similarity,lib-lib,0.2,"[""E03"", ""G01""]",2,"[""E02"", ""E03"", ""G02"", ""G01""]",4,Bank equity excess returns,22695,liberal,-,Bank credit expansion,task2,10,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002335,-,"[""G15"", ""G01""]",liberal,-,contagion from US market,0.5,17121,Higher financial integration,conservative,0.25,0.2,jaccard_jel_similarity,cons-lib,0.2,"[""G01""]",1,"[""E02"", ""E03"", ""G02"", ""G01""]",4,Bank equity excess returns,22695,liberal,-,Large credit expansion (95th percentile),task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002336,+,"[""G2"", ""R31"", ""R21"", ""E44"", ""E03"", ""G01"", ""G12"", ""G4""]",conservative,+,Mortgage default and delinquency rates,0.25,24823,Exposure to high NCL lenders,liberal,0.5,0.2,jaccard_jel_similarity,lib-lib,0.2,"[""E03"", ""G01""]",2,"[""E02"", ""E03"", ""G02"", ""G01""]",4,Bank equity excess returns,22695,liberal,-,Large credit expansion (95th percentile),task2,10,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002337,+,"[""O4"", ""O50"", ""O43""]",liberal,+,Adoption of market-oriented policies,0.3333,14595,Growth slowdown in late 1970s–1980s,conservative,0.3333,0.2,jaccard_jel_similarity,cons-lib,0.2,"[""O43""]",1,"[""H13"", ""K11"", ""O43""]",3,Water quality,22701,liberal,+,Clean Water Act regulation,task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002338,+,"[""N15"", ""O43""]",conservative,+,charitable donations,0.5,23208,Historical state strength,liberal,0.3333,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""O43""]",1,"[""H13"", ""K11"", ""O43""]",3,Water quality,22701,liberal,+,Clean Water Act regulation,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002339,-,"[""Q12"", ""O12"", ""O13""]",liberal,-,Fertilizer expenses,0.6667,18778,Fertilizer grants,conservative,0.3333,0.2857,jaccard_jel_similarity,cons-lib,0.2857,"[""O12"", ""Q12""]",2,"[""D12"", ""G22"", ""D83"", ""O12"", ""Q12"", ""H20""]",6,Second-year insurance take-up,22702,liberal,+,First-year full subsidy,task2,7,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002340,+,"[""Q12"", ""O12"", ""O13""]",conservative,+,Herbicide expenses,0.6667,18778,Fertilizer grants,liberal,0.3333,0.2857,jaccard_jel_similarity,lib-lib,0.2857,"[""O12"", ""Q12""]",2,"[""D12"", ""G22"", ""D83"", ""O12"", ""Q12"", ""H20""]",6,Second-year insurance take-up,22702,liberal,+,First-year full subsidy,task2,7,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002341,-,"[""Q12"", ""O12"", ""O13""]",liberal,-,Fertilizer expenses,0.6667,18778,Fertilizer grants,conservative,0.3333,0.2857,jaccard_jel_similarity,cons-cons,0.2857,"[""O12"", ""Q12""]",2,"[""D12"", ""G22"", ""D83"", ""O12"", ""Q12"", ""H20""]",6,Attention to payout information,22702,conservative,-,Full first-year subsidy,task2,7,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002342,+,"[""Q12"", ""O12"", ""O13""]",conservative,+,Herbicide expenses,0.6667,18778,Fertilizer grants,liberal,0.3333,0.2857,jaccard_jel_similarity,lib-cons,0.2857,"[""O12"", ""Q12""]",2,"[""D12"", ""G22"", ""D83"", ""O12"", ""Q12"", ""H20""]",6,Attention to payout information,22702,conservative,-,Full first-year subsidy,task2,7,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002343,None,"[""J23"", ""J38""]",conservative,None,"Labor supply (hours, overtime, bonuses, jobs)",1.0,15745,New payroll tax regime,liberal,0.3333,0.3333,jaccard_jel_similarity,lib-lib,0.3333,"[""J23"", ""J38""]",2,"[""K31"", ""J71"", ""J38"", ""K35"", ""J23"", ""G28""]",6,Implied probability of default,22711,liberal,-,Removal of Chapter 13 bankruptcy flag,task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002344,-,"[""J23"", ""J38""]",liberal,-,Net earnings,1.0,15745,New payroll tax regime,conservative,0.3333,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""J23"", ""J38""]",2,"[""K31"", ""J71"", ""J38"", ""K35"", ""J23"", ""G28""]",6,Implied probability of default,22711,liberal,-,Removal of Chapter 13 bankruptcy flag,task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002345,+,"[""G28"", ""G21""]",conservative,+,CAMELS rating,1.0,17736,Federal supervision,liberal,0.5,0.5,jaccard_jel_similarity,lib-lib,0.5,"[""G21"", ""G28""]",2,"[""G02"", ""D14"", ""G28"", ""G21""]",4,Adoption of three-year repayment amount,22742,liberal,+,CARD Act disclosure (three-year payment),task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002346,+,"[""D14"", ""G21"", ""L26"", ""D31"", ""G28""]",liberal,+,Pre-entry income of marginal entrants,0.6,20583,Access to home equity,conservative,0.75,0.5,jaccard_jel_similarity,cons-lib,0.5,"[""D14"", ""G21"", ""G28""]",3,"[""G02"", ""D14"", ""G28"", ""G21""]",4,Adoption of three-year repayment amount,22742,liberal,+,CARD Act disclosure (three-year payment),task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002347,None,"[""H51"", ""I11"", ""D12"", ""G22"", ""I13""]",conservative,None,Price shopping activity,0.6,21632,Switch to high-deductible plan,liberal,0.75,0.5,jaccard_jel_similarity,lib-cons,0.5,"[""D12"", ""G22"", ""I13""]",3,"[""D12"", ""C25"", ""I13"", ""G22""]",4,Probability to pay attention,22765,conservative,+,Hitting coverage gap without coverage,task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002348,-,"[""H51"", ""I11"", ""D12"", ""G22"", ""I13""]",liberal,-,Spending by sickest quartile,0.6,21632,Switch to high-deductible plan,conservative,0.75,0.5,jaccard_jel_similarity,cons-cons,0.5,"[""D12"", ""G22"", ""I13""]",3,"[""D12"", ""C25"", ""I13"", ""G22""]",4,Probability to pay attention,22765,conservative,+,Hitting coverage gap without coverage,task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002349,None,"[""J24"", ""J78"", ""J7"", ""J3""]",liberal,None,Female representation in firm workforce,0.5,20256,Mandatory board gender quota,conservative,0.5,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""J24"", ""J78""]",2,"[""J71"", ""J78"", ""J24"", ""M50""]",4,Minutes worked,22786,liberal,-,Manager bias,task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002350,-,"[""J24"", ""C90"", ""J71""]",conservative,-,Likelihood of acceptance,0.6667,25800,Female and minority candidate,liberal,0.5,0.4,jaccard_jel_similarity,lib-lib,0.4,"[""J24"", ""J71""]",2,"[""J71"", ""J78"", ""J24"", ""M50""]",4,Minutes worked,22786,liberal,-,Manager bias,task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002351,None,"[""J24"", ""J78"", ""J7"", ""J3""]",liberal,None,Female representation in firm workforce,0.5,20256,Mandatory board gender quota,conservative,0.5,0.3333,jaccard_jel_similarity,cons-lib,0.3333,"[""J24"", ""J78""]",2,"[""J71"", ""J78"", ""J24"", ""M50""]",4,Minority relative performance,22786,liberal,+,Unbiased manager assignment,task2,6,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002352,-,"[""J24"", ""C90"", ""J71""]",conservative,-,Likelihood of acceptance,0.6667,25800,Female and minority candidate,liberal,0.5,0.4,jaccard_jel_similarity,lib-lib,0.4,"[""J24"", ""J71""]",2,"[""J71"", ""J78"", ""J24"", ""M50""]",4,Minority relative performance,22786,liberal,+,Unbiased manager assignment,task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002353,-,"[""G11"", ""H31""]",liberal,-,Capital gains realizations,1.0,7532,Current marginal capital gains tax rate,conservative,0.2222,0.2222,jaccard_jel_similarity,cons-cons,0.2222,"[""G11"", ""H31""]",2,"[""J22"", ""R23"", ""R51"", ""H31"", ""D31"", ""D12"", ""G11"", ""E21"", ""R21""]",9,Mobility,22882,conservative,+,Homeownership,task2,9,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002354,+,"[""H31"", ""D91"", ""E21"", ""D31""]",conservative,+,Nondurable consumption in receiving quarter,0.75,17338,Fiscal stimulus payments (tax rebates),liberal,0.3333,0.3,jaccard_jel_similarity,lib-cons,0.3,"[""D31"", ""E21"", ""H31""]",3,"[""J22"", ""R23"", ""R51"", ""H31"", ""D31"", ""D12"", ""G11"", ""E21"", ""R21""]",9,Mobility,22882,conservative,+,Homeownership,task2,10,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002355,-,"[""G23"", ""G11"", ""D14""]",conservative,-,after-fee returns,0.6667,18158,Broker recommendations,liberal,0.5,0.4,jaccard_jel_similarity,lib-cons,0.4,"[""D14"", ""G11""]",2,"[""D91"", ""G11"", ""J3"", ""D14""]",4,Worker wages,22883,conservative,+,Firm performance shocks,task2,5,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002356,+,"[""J42"", ""D9"", ""J3"", ""J01"", ""J63"", ""D91""]",liberal,+,Separations,0.3333,24906,Average peer wage,conservative,0.5,0.25,jaccard_jel_similarity,cons-cons,0.25,"[""D91"", ""J3""]",2,"[""D91"", ""G11"", ""J3"", ""D14""]",4,Worker wages,22883,conservative,+,Firm performance shocks,task2,8,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002357,+,"[""N32"", ""J70""]",conservative,+,Public schooling access and quality,0.5,6418,NAACP litigation,liberal,0.3333,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""N32""]",1,"[""I13"", ""J10"", ""N32""]",3,Adult mortality,22899,liberal,-,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002358,+,"[""I13"", ""J20""]",liberal,+,Employment (≥20 hours per week),0.5,19220,TennCare disenrollment,conservative,0.3333,0.25,jaccard_jel_similarity,cons-lib,0.25,"[""I13""]",1,"[""I13"", ""J10"", ""N32""]",3,Adult mortality,22899,liberal,-,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002359,+,"[""N32"", ""J70""]",conservative,+,Public schooling access and quality,0.5,6418,NAACP litigation,liberal,0.3333,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""N32""]",1,"[""I13"", ""J10"", ""N32""]",3,Disability transfer receipt,22899,liberal,-,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002360,+,"[""I13"", ""J20""]",liberal,+,Employment (≥20 hours per week),0.5,19220,TennCare disenrollment,conservative,0.3333,0.25,jaccard_jel_similarity,cons-lib,0.25,"[""I13""]",1,"[""I13"", ""J10"", ""N32""]",3,Disability transfer receipt,22899,liberal,-,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002361,+,"[""N32"", ""J70""]",conservative,+,Public schooling access and quality,0.5,6418,NAACP litigation,liberal,0.3333,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""N32""]",1,"[""I13"", ""J10"", ""N32""]",3,Earnings,22899,liberal,+,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002362,+,"[""I13"", ""J20""]",liberal,+,Employment (≥20 hours per week),0.5,19220,TennCare disenrollment,conservative,0.3333,0.25,jaccard_jel_similarity,cons-lib,0.25,"[""I13""]",1,"[""I13"", ""J10"", ""N32""]",3,Earnings,22899,liberal,+,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002363,+,"[""N32"", ""J70""]",conservative,+,Public schooling access and quality,0.5,6418,NAACP litigation,liberal,0.3333,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""N32""]",1,"[""I13"", ""J10"", ""N32""]",3,Government cash transfer payments,22899,liberal,-,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002364,+,"[""I13"", ""J20""]",liberal,+,Employment (≥20 hours per week),0.5,19220,TennCare disenrollment,conservative,0.3333,0.25,jaccard_jel_similarity,cons-lib,0.25,"[""I13""]",1,"[""I13"", ""J10"", ""N32""]",3,Government cash transfer payments,22899,liberal,-,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002365,+,"[""N32"", ""J70""]",conservative,+,Public schooling access and quality,0.5,6418,NAACP litigation,liberal,0.3333,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""N32""]",1,"[""I13"", ""J10"", ""N32""]",3,Public health insurance coverage,22899,liberal,-,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002366,+,"[""I13"", ""J20""]",liberal,+,Employment (≥20 hours per week),0.5,19220,TennCare disenrollment,conservative,0.3333,0.25,jaccard_jel_similarity,cons-lib,0.25,"[""I13""]",1,"[""I13"", ""J10"", ""N32""]",3,Public health insurance coverage,22899,liberal,-,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002367,+,"[""N32"", ""J70""]",conservative,+,Public schooling access and quality,0.5,6418,NAACP litigation,liberal,0.3333,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""N32""]",1,"[""I13"", ""J10"", ""N32""]",3,Public medical spending,22899,liberal,-,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002368,+,"[""I13"", ""J20""]",liberal,+,Employment (≥20 hours per week),0.5,19220,TennCare disenrollment,conservative,0.3333,0.25,jaccard_jel_similarity,cons-lib,0.25,"[""I13""]",1,"[""I13"", ""J10"", ""N32""]",3,Public medical spending,22899,liberal,-,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
task2_jel_similarity_side_capped_jel_similarity_002369,+,"[""N32"", ""J70""]",conservative,+,Public schooling access and quality,0.5,6418,NAACP litigation,liberal,0.3333,0.25,jaccard_jel_similarity,lib-lib,0.25,"[""N32""]",1,"[""I13"", ""J10"", ""N32""]",3,Self-reported disability,22899,liberal,-,Early childhood Medicaid eligibility,task2,4,side_capped_jel_similarity
